"age_group","month","month_year","average_depression_level"
"18 - 29 years","April    ","2020",32.70
"18 - 29 years","May      ","2020",36.60
"18 - 29 years","June     ","2020",36.78
"18 - 29 years","July     ","2020",38.83
"18 - 29 years","August   ","2020",35.40
"18 - 29 years","September","2020",36.63
"18 - 29 years","October  ","2020",41.20
"18 - 29 years","November ","2020",42.75
"18 - 29 years","December ","2020",43.60
"18 - 29 years","January  ","2021",42.25
"18 - 29 years","February ","2021",43.55
"18 - 29 years","March    ","2021",39.80
"18 - 29 years","April    ","2021",39.30
"18 - 29 years","May      ","2021",34.00
"18 - 29 years","June     ","2021",36.65
"18 - 29 years","July     ","2021",38.60
"18 - 29 years","August   ","2021",34.95
"18 - 29 years","September","2021",36.83
"18 - 29 years","October  ","2021",NULL
"18 - 29 years","December ","2021",34.00
"18 - 29 years","January  ","2022",35.50
"18 - 29 years","February ","2022",NULL
"18 - 29 years","March    ","2022",35.00
"18 - 29 years","April    ","2022",34.50
"18 - 29 years","May      ","2022",NULL
"18 - 29 years","June     ","2022",36.75
"18 - 29 years","July     ","2022",32.40
"18 - 29 years","August   ","2022",NULL
"18 - 29 years","September","2022",34.40
"18 - 29 years","October  ","2022",39.00
"18 - 29 years","November ","2022",35.30
"18 - 29 years","December ","2022",35.50
"18 - 29 years","January  ","2023",34.00
"18 - 29 years","February ","2023",33.80
"18 - 29 years","March    ","2023",32.45
"18 - 29 years","April    ","2023",33.40
"30 - 39 years","April    ","2020",25.70
"30 - 39 years","May      ","2020",27.43
"30 - 39 years","June     ","2020",28.70
"30 - 39 years","July     ","2020",32.27
"30 - 39 years","August   ","2020",27.90
"30 - 39 years","September","2020",28.03
"30 - 39 years","October  ","2020",31.90
"30 - 39 years","November ","2020",32.80
"30 - 39 years","December ","2020",34.90
"30 - 39 years","January  ","2021",31.75
"30 - 39 years","February ","2021",31.45
"30 - 39 years","March    ","2021",29.85
"30 - 39 years","April    ","2021",26.40
"30 - 39 years","May      ","2021",25.50
"30 - 39 years","June     ","2021",24.90
"30 - 39 years","July     ","2021",26.70
"30 - 39 years","August   ","2021",27.40
"30 - 39 years","September","2021",26.33
"30 - 39 years","October  ","2021",NULL
"30 - 39 years","December ","2021",26.90
"30 - 39 years","January  ","2022",29.30
"30 - 39 years","February ","2022",NULL
"30 - 39 years","March    ","2022",27.20
"30 - 39 years","April    ","2022",29.20
"30 - 39 years","May      ","2022",NULL
"30 - 39 years","June     ","2022",27.25
"30 - 39 years","July     ","2022",27.00
"30 - 39 years","August   ","2022",NULL
"30 - 39 years","September","2022",27.70
"30 - 39 years","October  ","2022",27.80
"30 - 39 years","November ","2022",27.60
"30 - 39 years","December ","2022",26.90
"30 - 39 years","January  ","2023",25.10
"30 - 39 years","February ","2023",26.40
"30 - 39 years","March    ","2023",25.20
"30 - 39 years","April    ","2023",23.60
"40 - 49 years","April    ","2020",24.80
"40 - 49 years","May      ","2020",25.10
"40 - 49 years","June     ","2020",26.70
"40 - 49 years","July     ","2020",29.03
"40 - 49 years","August   ","2020",23.80
"40 - 49 years","September","2020",25.77
"40 - 49 years","October  ","2020",26.85
"40 - 49 years","November ","2020",30.20
"40 - 49 years","December ","2020",31.50
"40 - 49 years","January  ","2021",28.10
"40 - 49 years","February ","2021",27.60
"40 - 49 years","March    ","2021",26.05
"40 - 49 years","April    ","2021",22.45
"40 - 49 years","May      ","2021",22.65
"40 - 49 years","June     ","2021",22.50
"40 - 49 years","July     ","2021",22.50
"40 - 49 years","August   ","2021",22.85
"40 - 49 years","September","2021",23.67
"40 - 49 years","October  ","2021",NULL
"40 - 49 years","December ","2021",24.00
"40 - 49 years","January  ","2022",22.30
"40 - 49 years","February ","2022",NULL
"40 - 49 years","March    ","2022",22.85
"40 - 49 years","April    ","2022",23.40
"40 - 49 years","May      ","2022",NULL
"40 - 49 years","June     ","2022",23.95
"40 - 49 years","July     ","2022",22.60
"40 - 49 years","August   ","2022",NULL
"40 - 49 years","September","2022",26.30
"40 - 49 years","October  ","2022",25.50
"40 - 49 years","November ","2022",25.60
"40 - 49 years","December ","2022",24.50
"40 - 49 years","January  ","2023",22.50
"40 - 49 years","February ","2023",21.50
"40 - 49 years","March    ","2023",21.90
"40 - 49 years","April    ","2023",24.10
"50 - 59 years","April    ","2020",23.20
"50 - 59 years","May      ","2020",24.60
"50 - 59 years","June     ","2020",25.93
"50 - 59 years","July     ","2020",28.60
"50 - 59 years","August   ","2020",23.80
"50 - 59 years","September","2020",23.10
"50 - 59 years","October  ","2020",24.60
"50 - 59 years","November ","2020",27.35
"50 - 59 years","December ","2020",28.90
"50 - 59 years","January  ","2021",27.55
"50 - 59 years","February ","2021",26.55
"50 - 59 years","March    ","2021",22.90
"50 - 59 years","April    ","2021",20.25
"50 - 59 years","May      ","2021",19.50
"50 - 59 years","June     ","2021",19.20
"50 - 59 years","July     ","2021",18.60
"50 - 59 years","August   ","2021",20.20
"50 - 59 years","September","2021",20.67
"50 - 59 years","October  ","2021",NULL
"50 - 59 years","December ","2021",20.95
"50 - 59 years","January  ","2022",20.20
"50 - 59 years","February ","2022",NULL
"50 - 59 years","March    ","2022",19.85
"50 - 59 years","April    ","2022",21.60
"50 - 59 years","May      ","2022",NULL
"50 - 59 years","June     ","2022",22.35
"50 - 59 years","July     ","2022",22.60
"50 - 59 years","August   ","2022",NULL
"50 - 59 years","September","2022",25.50
"50 - 59 years","October  ","2022",24.40
"50 - 59 years","November ","2022",22.60
"50 - 59 years","December ","2022",22.70
"50 - 59 years","January  ","2023",22.30
"50 - 59 years","February ","2023",20.10
"50 - 59 years","March    ","2023",20.55
"50 - 59 years","April    ","2023",21.10
"60 - 69 years","April    ","2020",18.40
"60 - 69 years","May      ","2020",18.35
"60 - 69 years","June     ","2020",19.80
"60 - 69 years","July     ","2020",22.37
"60 - 69 years","August   ","2020",19.70
"60 - 69 years","September","2020",19.93
"60 - 69 years","October  ","2020",20.45
"60 - 69 years","November ","2020",21.60
"60 - 69 years","December ","2020",22.50
"60 - 69 years","January  ","2021",22.35
"60 - 69 years","February ","2021",22.05
"60 - 69 years","March    ","2021",18.85
"60 - 69 years","April    ","2021",16.25
"60 - 69 years","May      ","2021",15.20
"60 - 69 years","June     ","2021",15.10
"60 - 69 years","July     ","2021",15.30
"60 - 69 years","August   ","2021",15.30
"60 - 69 years","September","2021",15.27
"60 - 69 years","October  ","2021",NULL
"60 - 69 years","December ","2021",15.35
"60 - 69 years","January  ","2022",15.30
"60 - 69 years","February ","2022",NULL
"60 - 69 years","March    ","2022",15.15
"60 - 69 years","April    ","2022",13.50
"60 - 69 years","May      ","2022",NULL
"60 - 69 years","June     ","2022",16.00
"60 - 69 years","July     ","2022",15.10
"60 - 69 years","August   ","2022",NULL
"60 - 69 years","September","2022",17.70
"60 - 69 years","October  ","2022",19.00
"60 - 69 years","November ","2022",17.60
"60 - 69 years","December ","2022",17.10
"60 - 69 years","January  ","2023",16.80
"60 - 69 years","February ","2023",16.00
"60 - 69 years","March    ","2023",15.95
"60 - 69 years","April    ","2023",16.20
"70 - 79 years","April    ","2020",13.60
"70 - 79 years","May      ","2020",13.33
"70 - 79 years","June     ","2020",14.80
"70 - 79 years","July     ","2020",16.20
"70 - 79 years","August   ","2020",14.80
"70 - 79 years","September","2020",15.13
"70 - 79 years","October  ","2020",15.90
"70 - 79 years","November ","2020",17.20
"70 - 79 years","December ","2020",18.40
"70 - 79 years","January  ","2021",18.20
"70 - 79 years","February ","2021",16.55
"70 - 79 years","March    ","2021",14.60
"70 - 79 years","April    ","2021",11.80
"70 - 79 years","May      ","2021",11.75
"70 - 79 years","June     ","2021",10.50
"70 - 79 years","July     ","2021",11.10
"70 - 79 years","August   ","2021",10.60
"70 - 79 years","September","2021",10.43
"70 - 79 years","October  ","2021",NULL
"70 - 79 years","December ","2021",10.30
"70 - 79 years","January  ","2022",10.10
"70 - 79 years","February ","2022",NULL
"70 - 79 years","March    ","2022",10.80
"70 - 79 years","April    ","2022",10.20
"70 - 79 years","May      ","2022",NULL
"70 - 79 years","June     ","2022",11.05
"70 - 79 years","July     ","2022",11.00
"70 - 79 years","August   ","2022",NULL
"70 - 79 years","September","2022",12.40
"70 - 79 years","October  ","2022",14.00
"70 - 79 years","November ","2022",11.40
"70 - 79 years","December ","2022",14.00
"70 - 79 years","January  ","2023",11.50
"70 - 79 years","February ","2023",11.80
"70 - 79 years","March    ","2023",12.55
"70 - 79 years","April    ","2023",12.30
"80 years and above","April    ","2020",14.40
"80 years and above","May      ","2020",13.88
"80 years and above","June     ","2020",12.05
"80 years and above","July     ","2020",14.43
"80 years and above","August   ","2020",13.80
"80 years and above","September","2020",12.20
"80 years and above","October  ","2020",12.95
"80 years and above","November ","2020",16.30
"80 years and above","December ","2020",21.70
"80 years and above","January  ","2021",16.85
"80 years and above","February ","2021",15.45
"80 years and above","March    ","2021",17.60
"80 years and above","April    ","2021",13.05
"80 years and above","May      ","2021",9.20
